Date,Region,Product,Channel,SalesRep,Quantity,UnitPrice,DiscountRate,Revenue
2024-10-01,West,Widget B,Distributor,Bob,90,48.51,0.25,3274.42
2024-05-08,South,Widget B,Online,Bob,96,31.97,0.21,2424.6
2024-08-24,North,Widget A,Online,Eva,22,39.2,0.01,853.78
2024-06-02,West,Widget C,Online,Alice,29,14.64,0.01,420.31
2024-04-03,South,Widget B,Online,Derek,16,13.91,0.15,189.18
2024-02-08,West,Widget A,Retail,Eva,23,11.92,0.28,197.4
2024-04-09,South,Widget D,Distributor,Bob,19,30.13,0.26,423.63
2024-11-20,North,Widget D,Distributor,Bob,92,33.43,0.28,2214.4
2024-05-31,West,Widget B,Distributor,Derek,33,28.33,0.16,785.31
2024-04-10,West,Widget C,Online,Alice,40,46.21,0.06,1737.5
2024-01-12,East,Widget B,Retail,Eva,35,23.46,0.2,656.88
2024-04-02,South,Widget B,Retail,Bob,7,14.73,0.21,81.46
2024-03-15,North,Widget D,Online,Eva,36,17.1,0.23,474.01
2024-07-10,East,Widget A,Distributor,Derek,82,20.0,0.17,1361.2
2024-05-30,South,Widget D,Online,Derek,55,40.03,0.23,1695.27
2024-12-26,South,Widget A,Online,Derek,89,22.8,0.27,1481.32
2024-06-25,West,Widget D,Online,Alice,19,13.65,0.1,233.42
2024-07-24,East,Widget D,Distributor,Bob,16,27.94,0.09,406.81
2024-01-25,West,Widget C,Online,Derek,53,41.66,0.24,1678.06
2024-04-18,North,Widget B,Retail,Bob,5,39.48,0.16,165.82
2024-11-26,South,Widget C,Online,Bob,58,34.73,0.03,1953.91
2024-01-07,South,Widget A,Retail,Alice,50,45.68,0.04,2192.64
2024-01-29,North,Widget B,Distributor,Eva,65,45.21,0.07,2732.94
2024-11-22,North,Widget A,Retail,Derek,31,29.27,0.11,807.56
2024-06-15,East,Widget B,Retail,Charlie,39,27.38,0.08,982.39
2024-08-29,West,Widget B,Retail,Derek,92,40.69,0.25,2807.61
2024-01-01,East,Widget A,Retail,Alice,63,29.11,0.02,1797.25
2024-04-26,South,Widget B,Online,Eva,61,22.91,0.01,1383.53
2024-07-31,East,Widget D,Online,Derek,99,37.82,0.02,3669.3
2024-02-16,North,Widget A,Retail,Alice,54,33.37,0.27,1315.45
2024-01-12,South,Widget D,Retail,Derek,24,34.81,0.08,768.6
2024-12-13,West,Widget B,Retail,Derek,50,20.64,0.11,918.48
2024-08-15,West,Widget C,Retail,Alice,73,22.38,0.24,1241.64
2024-08-07,West,Widget A,Online,Charlie,6,47.99,0.22,224.59
2024-10-29,North,Widget B,Retail,Bob,5,11.05,0.11,49.17
2024-03-05,South,Widget D,Distributor,Alice,11,33.77,0.11,330.61
2024-12-07,East,Widget C,Online,Eva,33,28.75,0.12,834.9
2024-11-06,South,Widget D,Online,Eva,95,40.0,0.27,2774.0
2024-01-23,North,Widget A,Online,Bob,74,25.11,0.07,1728.07
2024-01-01,East,Widget A,Online,Derek,62,45.13,0.23,2154.51
2024-02-03,West,Widget C,Distributor,Bob,34,29.05,0.25,740.78
2024-11-01,West,Widget A,Retail,Derek,5,13.54,0.24,51.45
2024-04-21,East,Widget C,Distributor,Eva,85,35.57,0.24,2297.82
2024-04-12,South,Widget D,Retail,Bob,98,35.47,0.17,2885.13
2024-11-03,North,Widget B,Online,Derek,30,34.88,0.26,774.34
2024-05-12,North,Widget D,Retail,Alice,74,40.76,0.02,2955.92
2024-03-09,South,Widget B,Online,Bob,77,18.37,0.17,1174.03
2024-04-20,North,Widget C,Distributor,Charlie,16,35.63,0.05,541.58
2024-07-02,North,Widget C,Distributor,Charlie,93,48.92,0.18,3730.64
2024-02-20,East,Widget A,Online,Bob,92,23.9,0.01,2176.81
2024-11-21,North,Widget A,Online,Derek,90,45.77,0.04,3954.53
2024-08-05,North,Widget C,Online,Bob,47,35.12,0.02,1617.63
2024-12-15,East,Widget C,Online,Alice,26,44.73,0.03,1128.09
2024-12-20,North,Widget D,Distributor,Bob,28,24.76,0.14,596.22
2024-12-30,South,Widget B,Distributor,Charlie,7,37.49,0.25,196.82
2024-12-28,East,Widget D,Online,Bob,38,31.3,0.07,1106.14
2024-04-28,North,Widget D,Retail,Alice,17,18.46,0.1,282.44
2024-10-26,North,Widget A,Online,Derek,25,37.16,0.24,706.04
2024-04-18,South,Widget C,Distributor,Bob,8,33.46,0.17,222.17
2024-02-11,North,Widget A,Retail,Derek,26,34.3,0.07,829.37
2024-11-10,North,Widget B,Online,Alice,33,10.3,0.07,316.11
2024-03-10,East,Widget D,Retail,Charlie,62,21.4,0.05,1260.46
2024-11-06,North,Widget C,Distributor,Charlie,31,26.42,0.29,581.5
2024-08-10,South,Widget B,Distributor,Derek,79,42.68,0.08,3101.98
2024-03-02,North,Widget B,Distributor,Charlie,8,29.06,0.25,174.36
2024-05-12,South,Widget B,Retail,Derek,19,17.98,0.22,266.46
2024-05-19,East,Widget A,Retail,Eva,11,47.28,0.1,468.07
2024-09-15,North,Widget B,Retail,Bob,5,12.53,0.3,43.86
2024-01-13,West,Widget B,Online,Eva,73,40.41,0.18,2418.94
2024-02-07,East,Widget C,Retail,Alice,69,43.22,0.29,2117.35
2024-11-29,North,Widget D,Distributor,Alice,34,17.25,0.02,574.77
2024-10-22,West,Widget B,Online,Charlie,14,41.98,0.25,440.79
2024-06-13,North,Widget C,Distributor,Bob,62,24.35,0.26,1117.18
2024-03-29,South,Widget D,Distributor,Charlie,38,31.59,0.13,1044.37
2024-06-01,North,Widget A,Distributor,Bob,78,12.66,0.07,918.36
2024-02-08,East,Widget B,Retail,Charlie,7,39.22,0.21,216.89
2024-01-15,East,Widget A,Online,Derek,94,45.76,0.24,3269.09
2024-02-07,North,Widget A,Online,Eva,27,39.76,0.01,1062.78
2024-03-26,South,Widget B,Online,Charlie,74,23.68,0.25,1314.24
2024-06-07,East,Widget D,Online,Derek,56,30.09,0.16,1415.43
2024-06-05,East,Widget D,Online,Bob,27,35.65,0.21,760.41
2024-10-18,South,Widget C,Distributor,Eva,20,17.26,0.27,252.0
2024-02-07,South,Widget D,Distributor,Bob,46,34.6,0.27,1161.87
2024-04-13,South,Widget B,Online,Alice,60,33.72,0.03,1962.5
2024-11-19,North,Widget D,Online,Bob,92,24.98,0.02,2252.2
2024-02-20,North,Widget B,Online,Charlie,23,14.91,0.07,318.92
2024-12-11,South,Widget D,Retail,Alice,1,44.8,0.16,37.63
2024-05-28,East,Widget A,Online,Alice,74,42.11,0.0,3116.14
2024-10-17,East,Widget D,Online,Bob,75,46.92,0.14,3026.34
2024-12-12,North,Widget D,Distributor,Charlie,51,19.93,0.17,843.64
2024-06-28,South,Widget A,Online,Alice,29,33.22,0.19,780.34
2024-06-04,South,Widget A,Online,Alice,84,28.36,0.17,1977.26
2024-12-07,West,Widget C,Online,Alice,71,33.82,0.02,2353.2
2024-08-02,East,Widget C,Distributor,Eva,49,11.46,0.14,482.92
2024-01-19,South,Widget A,Retail,Charlie,47,31.11,0.16,1228.22
2024-04-22,South,Widget B,Retail,Charlie,63,14.12,0.1,800.6
2024-02-24,East,Widget C,Retail,Bob,83,35.76,0.12,2611.91
2024-03-27,East,Widget D,Retail,Eva,8,11.08,0.07,82.44
2024-09-11,North,Widget D,Retail,Alice,67,45.5,0.17,2530.25
2024-09-20,South,Widget C,Retail,Charlie,16,25.89,0.2,331.39
2024-08-10,East,Widget D,Retail,Bob,7,39.44,0.25,207.06
2024-04-21,North,Widget C,Online,Derek,82,45.71,0.25,2811.16
2024-01-11,South,Widget C,Retail,Charlie,87,11.37,0.25,741.89
2024-10-19,South,Widget D,Retail,Alice,98,44.44,0.07,4050.26
2024-12-07,West,Widget D,Online,Bob,30,29.5,0.27,646.05
2024-05-07,West,Widget A,Retail,Charlie,81,20.75,0.16,1411.83
2024-08-24,North,Widget C,Online,Charlie,4,15.29,0.27,44.65
2024-04-07,East,Widget A,Distributor,Bob,85,42.6,0.15,3077.85
2024-02-03,North,Widget A,Online,Bob,76,18.26,0.0,1387.76
2024-01-27,North,Widget C,Retail,Charlie,40,20.03,0.19,648.97
2024-11-04,East,Widget B,Online,Alice,26,26.18,0.23,524.12
2024-02-15,West,Widget B,Retail,Charlie,65,13.31,0.18,709.42
2024-10-08,North,Widget A,Distributor,Charlie,36,38.76,0.09,1269.78
2024-08-14,South,Widget B,Distributor,Eva,56,18.6,0.01,1031.18
2024-05-27,East,Widget C,Distributor,Alice,62,48.21,0.05,2839.57
2024-07-19,South,Widget B,Online,Alice,73,24.06,0.12,1545.61
2024-03-01,East,Widget D,Retail,Alice,39,13.04,0.02,498.39
2024-04-17,West,Widget C,Retail,Bob,12,24.44,0.03,284.48
2024-10-31,North,Widget A,Retail,Alice,55,30.85,0.03,1645.85
2024-03-20,West,Widget C,Distributor,Eva,81,36.35,0.21,2326.04
2024-07-16,West,Widget A,Retail,Alice,12,18.85,0.3,158.34
2024-12-30,South,Widget C,Retail,Alice,23,32.23,0.14,637.51
2024-09-26,East,Widget A,Distributor,Alice,48,14.61,0.13,610.11
2024-03-22,East,Widget B,Distributor,Charlie,18,30.9,0.19,450.52
2024-01-14,East,Widget D,Distributor,Derek,60,29.24,0.27,1280.71
2024-06-19,West,Widget B,Distributor,Derek,39,22.61,0.16,740.7
2024-12-14,South,Widget A,Online,Bob,33,45.44,0.18,1229.61
2024-11-06,East,Widget B,Retail,Charlie,13,31.16,0.28,291.66
2024-08-14,East,Widget C,Retail,Derek,29,40.69,0.12,1038.41
2024-09-01,West,Widget A,Distributor,Alice,10,13.67,0.1,123.03
2024-12-05,North,Widget A,Retail,Alice,3,28.69,0.09,78.32
2024-11-19,South,Widget B,Online,Alice,48,10.71,0.3,359.86
2024-03-13,East,Widget A,Online,Derek,12,48.26,0.24,440.13
2024-07-16,East,Widget D,Distributor,Charlie,62,34.54,0.05,2034.41
2024-02-21,West,Widget C,Online,Eva,74,11.88,0.12,773.63
2024-08-28,South,Widget C,Retail,Eva,5,35.19,0.06,165.39
2024-01-09,East,Widget D,Retail,Alice,61,20.41,0.15,1058.26
2024-12-03,South,Widget A,Distributor,Charlie,13,18.95,0.16,206.93
2024-11-24,West,Widget B,Online,Bob,11,45.1,0.08,456.41
2024-01-29,North,Widget C,Online,Bob,76,11.42,0.1,781.13
2024-01-25,North,Widget C,Distributor,Bob,88,20.11,0.0,1769.68
2024-09-07,North,Widget D,Retail,Bob,70,48.48,0.03,3291.79
2024-10-10,North,Widget A,Online,Bob,40,45.32,0.15,1540.88
2024-04-24,South,Widget C,Retail,Charlie,77,20.68,0.26,1178.35
2024-05-26,West,Widget D,Online,Charlie,59,16.42,0.1,871.9
2024-02-14,North,Widget A,Retail,Derek,63,37.96,0.06,2247.99
2024-05-12,East,Widget A,Retail,Alice,31,43.03,0.04,1280.57
2024-12-28,North,Widget B,Distributor,Bob,2,43.29,0.15,73.59
2024-10-21,South,Widget D,Online,Charlie,17,14.63,0.11,221.35
2024-12-09,North,Widget C,Retail,Charlie,30,10.74,0.13,280.31
2024-11-14,West,Widget D,Distributor,Eva,93,41.55,0.05,3670.94
2024-08-29,West,Widget C,Online,Derek,22,38.34,0.14,725.39
2024-01-22,South,Widget D,Distributor,Bob,50,49.61,0.2,1984.4
2024-07-22,West,Widget C,Distributor,Derek,76,10.98,0.01,826.14
2024-05-13,East,Widget C,Distributor,Charlie,58,10.04,0.05,553.2
2024-08-13,North,Widget D,Online,Charlie,13,44.17,0.16,482.34
2024-10-11,North,Widget C,Retail,Derek,22,15.25,0.26,248.27
2024-08-23,West,Widget D,Online,Eva,47,26.79,0.19,1019.9
2024-09-18,East,Widget A,Online,Charlie,1,22.83,0.22,17.81
2024-06-10,North,Widget C,Online,Alice,24,24.74,0.26,439.38
2024-07-26,East,Widget D,Retail,Alice,17,13.65,0.05,220.45
2024-01-27,South,Widget B,Distributor,Charlie,93,15.25,0.01,1404.07
2024-11-11,South,Widget C,Retail,Alice,94,14.69,0.04,1325.63
2024-08-23,West,Widget D,Online,Alice,60,12.57,0.17,625.99
2024-04-26,South,Widget D,Distributor,Eva,81,10.46,0.02,830.31
2024-11-15,South,Widget B,Distributor,Charlie,45,40.28,0.29,1286.95
2024-09-23,South,Widget C,Online,Alice,76,49.47,0.04,3609.33
2024-03-20,South,Widget B,Online,Bob,40,10.39,0.1,374.04
2024-01-02,North,Widget A,Online,Eva,30,11.33,0.02,333.1
2024-04-12,South,Widget B,Distributor,Bob,46,37.73,0.25,1301.68
2024-04-15,East,Widget D,Online,Charlie,61,38.26,0.01,2310.52
2024-09-18,North,Widget C,Distributor,Alice,76,44.84,0.21,2692.19
2024-11-13,West,Widget B,Distributor,Charlie,7,36.43,0.17,211.66
2024-11-09,South,Widget B,Distributor,Charlie,41,16.56,0.13,590.7
2024-01-12,East,Widget D,Online,Alice,45,34.63,0.1,1402.52
2024-08-25,West,Widget A,Online,Eva,55,11.75,0.05,613.94
2024-07-29,South,Widget A,Online,Charlie,3,13.26,0.12,35.01
2024-04-02,South,Widget C,Distributor,Alice,7,28.5,0.26,147.63
2024-06-07,South,Widget A,Online,Derek,92,24.84,0.3,1599.7
2024-05-31,South,Widget A,Distributor,Alice,36,11.18,0.12,354.18
2024-08-15,South,Widget C,Retail,Derek,6,36.2,0.3,152.04
2024-07-04,South,Widget A,Distributor,Eva,18,35.26,0.22,495.05
2024-12-20,South,Widget D,Retail,Bob,44,24.91,0.15,931.63
2024-10-19,North,Widget B,Online,Alice,62,13.9,0.12,758.38
2024-01-14,West,Widget C,Online,Derek,2,13.81,0.2,22.1
2024-12-10,North,Widget D,Retail,Charlie,5,23.01,0.23,88.59
2024-06-12,North,Widget C,Distributor,Charlie,10,12.94,0.05,122.93
2024-04-02,South,Widget D,Retail,Alice,1,27.98,0.18,22.94
2024-01-01,North,Widget D,Retail,Derek,28,11.47,0.22,250.5
2024-07-22,North,Widget A,Online,Derek,56,33.41,0.26,1384.51
2024-04-17,East,Widget A,Retail,Bob,73,31.25,0.28,1642.5
2024-10-11,North,Widget C,Distributor,Eva,59,22.65,0.15,1135.9
2024-07-24,West,Widget B,Online,Bob,88,37.44,0.01,3261.77
2024-08-04,South,Widget A,Online,Charlie,50,23.71,0.16,995.82
2024-05-30,West,Widget B,Online,Derek,80,47.59,0.22,2969.62
2024-01-08,South,Widget A,Online,Eva,96,19.38,0.29,1320.94
2024-06-23,South,Widget A,Distributor,Bob,43,37.33,0.15,1364.41
2024-05-24,South,Widget D,Distributor,Alice,76,14.52,0.24,838.68
2024-10-15,North,Widget C,Distributor,Eva,48,36.05,0.03,1678.49
2024-08-07,South,Widget B,Retail,Alice,33,26.28,0.26,641.76
2024-03-13,North,Widget A,Distributor,Alice,75,45.14,0.12,2979.24
2024-05-11,South,Widget C,Retail,Bob,82,45.12,0.1,3329.86
2024-12-30,East,Widget A,Retail,Alice,85,22.98,0.11,1738.44
2024-07-17,East,Widget A,Distributor,Derek,93,27.95,0.07,2417.4
2024-10-17,West,Widget B,Retail,Charlie,99,16.74,0.19,1342.38
2024-09-21,East,Widget A,Retail,Bob,70,46.57,0.24,2477.52
2024-06-01,West,Widget A,Retail,Eva,79,31.34,0.18,2030.21
2024-12-08,South,Widget B,Retail,Derek,43,10.73,0.06,433.71
2024-12-01,East,Widget A,Distributor,Alice,36,47.08,0.02,1660.98
2024-10-03,North,Widget B,Distributor,Bob,78,29.43,0.08,2111.9
2024-02-21,South,Widget C,Online,Derek,35,33.24,0.03,1128.5
2024-06-06,South,Widget B,Online,Eva,4,42.93,0.16,144.24
2024-09-19,East,Widget D,Retail,Eva,31,38.36,0.03,1153.49
2024-10-24,West,Widget D,Retail,Alice,44,11.74,0.19,418.41
2024-05-20,East,Widget B,Retail,Eva,86,33.74,0.24,2205.25
2024-09-27,South,Widget D,Retail,Alice,42,46.0,0.11,1719.48
2024-06-02,East,Widget A,Retail,Charlie,60,36.86,0.24,1680.82
2024-06-12,South,Widget A,Distributor,Bob,69,16.72,0.22,899.87
2024-08-13,North,Widget C,Online,Alice,22,10.95,0.19,195.13
2024-06-08,East,Widget B,Online,Eva,57,29.87,0.3,1191.81
2024-10-17,East,Widget A,Retail,Charlie,42,27.13,0.22,888.78
2024-08-28,East,Widget C,Retail,Charlie,68,38.97,0.17,2199.47
2024-06-15,North,Widget B,Online,Alice,36,17.67,0.1,572.51
2024-03-10,North,Widget C,Online,Alice,60,12.7,0.24,579.12
2024-01-27,West,Widget A,Retail,Bob,67,31.32,0.1,1888.6
2024-09-15,South,Widget B,Retail,Derek,2,24.52,0.3,34.33
2024-10-12,West,Widget D,Retail,Derek,58,48.31,0.05,2661.88
2024-10-13,East,Widget A,Distributor,Bob,62,26.91,0.25,1251.32
2024-01-12,North,Widget D,Distributor,Eva,23,25.97,0.05,567.44
2024-01-05,West,Widget D,Online,Alice,30,30.84,0.19,749.41
2024-08-18,West,Widget A,Online,Derek,38,16.37,0.02,609.62
2024-10-18,North,Widget C,Retail,Eva,66,25.24,0.1,1499.26
2024-09-05,North,Widget A,Distributor,Charlie,52,21.19,0.28,793.35
2024-11-06,South,Widget C,Retail,Charlie,15,49.69,0.26,551.56
2024-01-12,East,Widget A,Retail,Bob,45,25.22,0.26,839.83
2024-06-06,South,Widget B,Distributor,Derek,14,13.24,0.12,163.12
2024-03-06,East,Widget B,Distributor,Bob,78,49.02,0.19,3097.08
2024-01-25,South,Widget A,Online,Alice,36,34.25,0.04,1183.68
2024-12-01,South,Widget B,Online,Derek,3,48.11,0.25,108.25
2024-05-20,North,Widget B,Online,Bob,68,15.41,0.29,743.99
2024-01-12,West,Widget D,Online,Derek,18,21.11,0.26,281.19
2024-06-08,North,Widget C,Retail,Bob,60,24.59,0.12,1298.35
2024-01-05,East,Widget B,Retail,Alice,2,29.38,0.23,45.25
2024-02-25,East,Widget A,Distributor,Charlie,9,15.69,0.04,135.56
2024-07-08,South,Widget C,Distributor,Derek,97,30.38,0.3,2062.8
2024-09-29,North,Widget C,Online,Derek,36,31.08,0.13,973.43
2024-03-03,North,Widget D,Distributor,Eva,99,24.71,0.12,2152.74
2024-01-14,East,Widget A,Online,Eva,55,26.65,0.14,1260.54
2024-09-02,South,Widget C,Online,Bob,87,15.48,0.16,1131.28
2024-03-05,North,Widget A,Retail,Bob,85,17.95,0.02,1495.24
2024-06-08,West,Widget A,Distributor,Alice,60,35.84,0.15,1827.84
2024-09-12,East,Widget A,Retail,Derek,34,22.99,0.22,609.69
2024-08-19,East,Widget A,Online,Derek,29,28.38,0.24,625.5
2024-04-22,North,Widget D,Online,Alice,41,37.53,0.13,1338.7
2024-01-29,North,Widget B,Retail,Bob,60,41.25,0.25,1856.25
2024-09-03,South,Widget D,Distributor,Alice,79,45.58,0.14,3096.71
2024-06-21,East,Widget A,Online,Eva,8,11.67,0.03,90.56
2024-02-12,North,Widget A,Distributor,Charlie,24,11.42,0.15,232.97
2024-08-19,South,Widget C,Retail,Derek,11,48.83,0.28,386.73
2024-01-28,East,Widget C,Retail,Eva,5,36.41,0.23,140.18
2024-11-15,South,Widget B,Distributor,Derek,81,21.82,0.23,1360.91
2024-11-24,South,Widget C,Retail,Charlie,49,20.22,0.08,911.52
2024-04-14,North,Widget A,Retail,Bob,10,41.95,0.09,381.74
2024-09-14,South,Widget A,Online,Derek,98,15.12,0.1,1333.58
2024-07-01,North,Widget A,Distributor,Derek,89,16.55,0.08,1355.11
2024-07-31,West,Widget D,Distributor,Alice,21,21.44,0.24,342.18
2024-04-28,East,Widget A,Online,Bob,21,40.2,0.14,726.01
2024-10-28,West,Widget B,Distributor,Derek,96,17.1,0.16,1378.94
2024-08-22,North,Widget B,Online,Eva,82,14.32,0.21,927.65
2024-10-09,South,Widget C,Distributor,Charlie,23,43.63,0.22,782.72
2024-06-19,North,Widget A,Online,Charlie,63,14.24,0.05,852.26
2024-01-30,East,Widget D,Distributor,Alice,8,28.46,0.0,227.68
2024-05-08,West,Widget A,Distributor,Alice,4,13.97,0.12,49.17
2024-12-27,South,Widget C,Online,Bob,21,39.32,0.18,677.09
2024-03-06,North,Widget D,Online,Alice,36,10.21,0.23,283.02
2024-02-23,West,Widget A,Retail,Alice,34,40.35,0.2,1097.52
2024-08-30,East,Widget C,Retail,Charlie,58,24.73,0.13,1247.88
2024-01-20,South,Widget D,Retail,Charlie,26,25.66,0.12,587.1
2024-12-24,North,Widget B,Retail,Derek,60,41.77,0.03,2431.01
2024-04-28,East,Widget D,Online,Charlie,88,14.17,0.07,1159.67
2024-09-10,West,Widget B,Retail,Bob,19,20.79,0.25,296.26
2024-10-31,East,Widget B,Distributor,Eva,76,41.4,0.21,2485.66
2024-12-21,West,Widget C,Online,Derek,94,23.13,0.13,1891.57
2024-05-25,East,Widget D,Online,Charlie,92,39.43,0.3,2539.29
2024-04-27,North,Widget A,Online,Derek,20,41.43,0.04,795.46
2024-07-16,East,Widget B,Distributor,Alice,90,33.51,0.06,2834.95
2024-03-01,South,Widget B,Distributor,Eva,94,43.27,0.08,3741.99
2024-12-02,East,Widget A,Distributor,Eva,19,20.37,0.13,336.72
2024-03-09,North,Widget D,Online,Derek,49,27.41,0.28,967.02
2024-12-21,South,Widget B,Retail,Bob,35,27.47,0.22,749.93
2024-11-21,North,Widget B,Retail,Derek,60,25.95,0.28,1121.04
2024-02-05,North,Widget B,Retail,Derek,7,19.88,0.27,101.59
2024-04-29,South,Widget D,Retail,Bob,89,41.07,0.02,3582.13
2024-10-27,West,Widget D,Distributor,Derek,82,46.26,0.04,3641.59
2024-07-14,South,Widget A,Distributor,Bob,32,36.55,0.29,830.42
2024-05-22,West,Widget C,Online,Bob,26,26.75,0.08,639.86
2024-11-08,North,Widget B,Online,Bob,69,36.17,0.06,2345.99
2024-10-31,East,Widget C,Online,Eva,12,23.98,0.03,279.13
2024-06-26,North,Widget D,Distributor,Bob,71,37.35,0.16,2227.55
2024-05-31,North,Widget A,Retail,Derek,58,31.7,0.24,1397.34
2024-06-25,North,Widget B,Retail,Bob,65,27.15,0.04,1694.16
2024-01-22,West,Widget A,Retail,Bob,98,44.48,0.14,3748.77
2024-06-15,South,Widget D,Distributor,Derek,59,28.37,0.02,1640.35
2024-11-14,North,Widget D,Distributor,Eva,20,31.79,0.23,489.57
2024-08-01,East,Widget D,Online,Derek,92,20.22,0.28,1339.37
2024-06-16,South,Widget D,Retail,Alice,63,32.1,0.03,1961.63
2024-02-13,North,Widget B,Distributor,Derek,23,42.88,0.11,877.75
2024-07-15,East,Widget C,Retail,Derek,92,40.3,0.08,3410.99
2024-03-12,East,Widget A,Distributor,Bob,42,27.9,0.17,972.59
2024-09-19,West,Widget C,Online,Charlie,27,21.08,0.3,398.41
2024-08-07,North,Widget C,Online,Derek,48,16.08,0.13,671.5
2024-09-02,East,Widget D,Online,Derek,11,30.21,0.29,235.94
2024-03-03,North,Widget C,Online,Eva,30,35.39,0.05,1008.62
2024-04-11,South,Widget C,Distributor,Charlie,69,32.39,0.16,1877.32
2024-10-07,West,Widget B,Retail,Eva,99,17.5,0.26,1282.05
2024-05-13,East,Widget D,Online,Charlie,66,42.87,0.14,2433.3
2024-07-31,West,Widget B,Retail,Charlie,76,23.41,0.05,1690.2
2024-10-03,West,Widget D,Retail,Alice,85,26.8,0.27,1662.94
2024-11-02,East,Widget B,Retail,Charlie,57,27.42,0.17,1297.24
2024-09-29,North,Widget D,Distributor,Charlie,35,11.24,0.22,306.85
2024-03-06,East,Widget D,Distributor,Alice,20,19.09,0.25,286.35
2024-12-08,West,Widget C,Distributor,Derek,58,30.51,0.09,1610.32
2024-07-09,North,Widget C,Online,Eva,53,36.13,0.28,1378.72
2024-02-08,North,Widget C,Online,Bob,97,44.97,0.0,4362.09
2024-03-31,South,Widget D,Retail,Derek,72,15.15,0.12,959.9
2024-11-29,East,Widget D,Online,Alice,40,39.6,0.28,1140.48
2024-08-02,South,Widget D,Online,Charlie,51,43.04,0.21,1734.08
